Domain Code,Domain,Reporter Country Code (M49),Reporter Countries,Partner Country Code (M49),Partner Countries,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","250","France","250","France","5910","Export Quantity","F0875","beef and veal preparations nes","2000","2000","tonnes","23","A","Official figure"
"TM","Detailed trade matrix","250","France","250","France","5910","Export Quantity","F0875","beef and veal preparations nes","2001","2001","tonnes","52","A","Official figure"
"TM","Detailed trade matrix","250","France","250","France","5910","Export Quantity","F0875","beef and veal preparations nes","2002","2002","tonnes","74","A","Official figure"
"TM","Detailed trade matrix","250","France","250","France","5910","Export Quantity","F0875","beef and veal preparations nes","2003","2003","tonnes","52","A","Official figure"
"TM","Detailed trade matrix","250","France","250","France","5910","Export Quantity","F0875","beef and veal preparations nes","2004","2004","tonnes","45","A","Official figure"
"TM","Detailed trade matrix","250","France","250","France","5910","Export Quantity","F0875","beef and veal preparations nes","2005","2005","tonnes","76","A","Official figure"
"TM","Detailed trade matrix","250","France","250","France","5910","Export Quantity","F0875","beef and veal preparations nes","2006","2006","tonnes","56","A","Official figure"
"TM","Detailed trade matrix","250","France","250","France","5910","Export Quantity","F0875","beef and veal preparations nes","2007","2007","tonnes","42","A","Official figure"
"TM","Detailed trade matrix","250","France","250","France","5910","Export Quantity","F0875","beef and veal preparations nes","2008","2008","tonnes","1","A","Official figure"
"TM","Detailed trade matrix","250","France","250","France","5910","Export Quantity","F0875","beef and veal preparations nes","2009","2009","tonnes","2","A","Official figure"
"TM","Detailed trade matrix","250","France","250","France","5910","Export Quantity","F0875","beef and veal preparations nes","2010","2010","tonnes","2","A","Official figure"
"TM","Detailed trade matrix","250","France","250","France","5910","Export Quantity","F0875","beef and veal preparations nes","2011","2011","tonnes","2","A","Official figure"
"TM","Detailed trade matrix","250","France","250","France","5910","Export Quantity","F0875","beef and veal preparations nes","2012","2012","tonnes","1","A","Official figure"
"TM","Detailed trade matrix","250","France","250","France","5910","Export Quantity","F0875","beef and veal preparations nes","2013","2013","tonnes","7","A","Official figure"
"TM","Detailed trade matrix","250","France","250","France","5922","Export Value","F0875","beef and veal preparations nes","2000","2000","1000 US$","64","A","Official figure"
"TM","Detailed trade matrix","250","France","250","France","5922","Export Value","F0875","beef and veal preparations nes","2001","2001","1000 US$","140","A","Official figure"
"TM","Detailed trade matrix","250","France","250","France","5922","Export Value","F0875","beef and veal preparations nes","2002","2002","1000 US$","178","A","Official figure"
"TM","Detailed trade matrix","250","France","250","France","5922","Export Value","F0875","beef and veal preparations nes","2003","2003","1000 US$","155","A","Official figure"
"TM","Detailed trade matrix","250","France","250","France","5922","Export Value","F0875","beef and veal preparations nes","2004","2004","1000 US$","160","A","Official figure"
"TM","Detailed trade matrix","250","France","250","France","5922","Export Value","F0875","beef and veal preparations nes","2005","2005","1000 US$","227","A","Official figure"
"TM","Detailed trade matrix","250","France","250","France","5922","Export Value","F0875","beef and veal preparations nes","2006","2006","1000 US$","184","A","Official figure"
"TM","Detailed trade matrix","250","France","250","France","5922","Export Value","F0875","beef and veal preparations nes","2007","2007","1000 US$","143","A","Official figure"
"TM","Detailed trade matrix","250","France","250","France","5922","Export Value","F0875","beef and veal preparations nes","2008","2008","1000 US$","5","A","Official figure"
"TM","Detailed trade matrix","250","France","250","France","5922","Export Value","F0875","beef and veal preparations nes","2009","2009","1000 US$","10","A","Official figure"
"TM","Detailed trade matrix","250","France","250","France","5922","Export Value","F0875","beef and veal preparations nes","2010","2010","1000 US$","9","A","Official figure"
"TM","Detailed trade matrix","250","France","250","France","5922","Export Value","F0875","beef and veal preparations nes","2011","2011","1000 US$","27","A","Official figure"
"TM","Detailed trade matrix","250","France","250","France","5922","Export Value","F0875","beef and veal preparations nes","2012","2012","1000 US$","4","A","Official figure"
"TM","Detailed trade matrix","250","France","250","France","5922","Export Value","F0875","beef and veal preparations nes","2013","2013","1000 US$","33","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5610","Import Quantity","F0875","beef and veal preparations nes","1991","1991","tonnes","346","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5610","Import Quantity","F0875","beef and veal preparations nes","1992","1992","tonnes","577","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5610","Import Quantity","F0875","beef and veal preparations nes","1993","1993","tonnes","177","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5610","Import Quantity","F0875","beef and veal preparations nes","1994","1994","tonnes","437","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5610","Import Quantity","F0875","beef and veal preparations nes","1995","1995","tonnes","720","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5610","Import Quantity","F0875","beef and veal preparations nes","1996","1996","tonnes","880","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5610","Import Quantity","F0875","beef and veal preparations nes","1997","1997","tonnes","562","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5610","Import Quantity","F0875","beef and veal preparations nes","1998","1998","tonnes","241","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5610","Import Quantity","F0875","beef and veal preparations nes","1999","1999","tonnes","262","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5610","Import Quantity","F0875","beef and veal preparations nes","2000","2000","tonnes","421","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5610","Import Quantity","F0875","beef and veal preparations nes","2001","2001","tonnes","328","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5610","Import Quantity","F0875","beef and veal preparations nes","2002","2002","tonnes","448","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5610","Import Quantity","F0875","beef and veal preparations nes","2003","2003","tonnes","910","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5610","Import Quantity","F0875","beef and veal preparations nes","2004","2004","tonnes","1126","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5610","Import Quantity","F0875","beef and veal preparations nes","2005","2005","tonnes","2396","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5610","Import Quantity","F0875","beef and veal preparations nes","2006","2006","tonnes","2807","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5610","Import Quantity","F0875","beef and veal preparations nes","2007","2007","tonnes","3626","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5610","Import Quantity","F0875","beef and veal preparations nes","2008","2008","tonnes","3580","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5610","Import Quantity","F0875","beef and veal preparations nes","2009","2009","tonnes","3285","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5610","Import Quantity","F0875","beef and veal preparations nes","2010","2010","tonnes","3182","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5610","Import Quantity","F0875","beef and veal preparations nes","2011","2011","tonnes","2693","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5610","Import Quantity","F0875","beef and veal preparations nes","2012","2012","tonnes","3571","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5610","Import Quantity","F0875","beef and veal preparations nes","2013","2013","tonnes","4190","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5610","Import Quantity","F0875","beef and veal preparations nes","2014","2014","tonnes","4704","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5610","Import Quantity","F0875","beef and veal preparations nes","2015","2015","tonnes","4079","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5610","Import Quantity","F0875","beef and veal preparations nes","2016","2016","tonnes","2805","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5610","Import Quantity","F0875","beef and veal preparations nes","2017","2017","tonnes","2774","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5610","Import Quantity","F0875","beef and veal preparations nes","2018","2018","tonnes","2968","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5610","Import Quantity","F0875","beef and veal preparations nes","2019","2019","tonnes","2409","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5610","Import Quantity","F0875","beef and veal preparations nes","2020","2020","tonnes","2025","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5622","Import Value","F0875","beef and veal preparations nes","1991","1991","1000 US$","1883","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5622","Import Value","F0875","beef and veal preparations nes","1992","1992","1000 US$","1954","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5622","Import Value","F0875","beef and veal preparations nes","1993","1993","1000 US$","1221","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5622","Import Value","F0875","beef and veal preparations nes","1994","1994","1000 US$","2273","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5622","Import Value","F0875","beef and veal preparations nes","1995","1995","1000 US$","3856","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5622","Import Value","F0875","beef and veal preparations nes","1996","1996","1000 US$","4300","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5622","Import Value","F0875","beef and veal preparations nes","1997","1997","1000 US$","2282","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5622","Import Value","F0875","beef and veal preparations nes","1998","1998","1000 US$","1491","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5622","Import Value","F0875","beef and veal preparations nes","1999","1999","1000 US$","1667","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5622","Import Value","F0875","beef and veal preparations nes","2000","2000","1000 US$","1745","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5622","Import Value","F0875","beef and veal preparations nes","2001","2001","1000 US$","1141","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5622","Import Value","F0875","beef and veal preparations nes","2002","2002","1000 US$","1715","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5622","Import Value","F0875","beef and veal preparations nes","2003","2003","1000 US$","3997","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5622","Import Value","F0875","beef and veal preparations nes","2004","2004","1000 US$","4715","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5622","Import Value","F0875","beef and veal preparations nes","2005","2005","1000 US$","10580","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5622","Import Value","F0875","beef and veal preparations nes","2006","2006","1000 US$","13003","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5622","Import Value","F0875","beef and veal preparations nes","2007","2007","1000 US$","20600","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5622","Import Value","F0875","beef and veal preparations nes","2008","2008","1000 US$","21472","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5622","Import Value","F0875","beef and veal preparations nes","2009","2009","1000 US$","17989","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5622","Import Value","F0875","beef and veal preparations nes","2010","2010","1000 US$","16410","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5622","Import Value","F0875","beef and veal preparations nes","2011","2011","1000 US$","14911","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5622","Import Value","F0875","beef and veal preparations nes","2012","2012","1000 US$","18678","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5622","Import Value","F0875","beef and veal preparations nes","2013","2013","1000 US$","23288","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5622","Import Value","F0875","beef and veal preparations nes","2014","2014","1000 US$","25293","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5622","Import Value","F0875","beef and veal preparations nes","2015","2015","1000 US$","17725","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5622","Import Value","F0875","beef and veal preparations nes","2016","2016","1000 US$","11783","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5622","Import Value","F0875","beef and veal preparations nes","2017","2017","1000 US$","11806","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5622","Import Value","F0875","beef and veal preparations nes","2018","2018","1000 US$","13793","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5622","Import Value","F0875","beef and veal preparations nes","2019","2019","1000 US$","10604","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5622","Import Value","F0875","beef and veal preparations nes","2020","2020","1000 US$","8930","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5910","Export Quantity","F0875","beef and veal preparations nes","1991","1991","tonnes","603","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5910","Export Quantity","F0875","beef and veal preparations nes","1992","1992","tonnes","55","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5910","Export Quantity","F0875","beef and veal preparations nes","1993","1993","tonnes","202","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5910","Export Quantity","F0875","beef and veal preparations nes","1994","1994","tonnes","1160","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5910","Export Quantity","F0875","beef and veal preparations nes","1995","1995","tonnes","203","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5910","Export Quantity","F0875","beef and veal preparations nes","1996","1996","tonnes","167","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5910","Export Quantity","F0875","beef and veal preparations nes","1997","1997","tonnes","280","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5910","Export Quantity","F0875","beef and veal preparations nes","1998","1998","tonnes","551","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5910","Export Quantity","F0875","beef and veal preparations nes","1999","1999","tonnes","303","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5910","Export Quantity","F0875","beef and veal preparations nes","2000","2000","tonnes","346","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5910","Export Quantity","F0875","beef and veal preparations nes","2001","2001","tonnes","308","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5910","Export Quantity","F0875","beef and veal preparations nes","2002","2002","tonnes","270","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5910","Export Quantity","F0875","beef and veal preparations nes","2003","2003","tonnes","310","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5910","Export Quantity","F0875","beef and veal preparations nes","2004","2004","tonnes","234","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5910","Export Quantity","F0875","beef and veal preparations nes","2005","2005","tonnes","263","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5910","Export Quantity","F0875","beef and veal preparations nes","2006","2006","tonnes","345","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5910","Export Quantity","F0875","beef and veal preparations nes","2007","2007","tonnes","346","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5910","Export Quantity","F0875","beef and veal preparations nes","2008","2008","tonnes","491","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5910","Export Quantity","F0875","beef and veal preparations nes","2009","2009","tonnes","264","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5910","Export Quantity","F0875","beef and veal preparations nes","2010","2010","tonnes","247","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5910","Export Quantity","F0875","beef and veal preparations nes","2011","2011","tonnes","408","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5910","Export Quantity","F0875","beef and veal preparations nes","2012","2012","tonnes","404","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5910","Export Quantity","F0875","beef and veal preparations nes","2013","2013","tonnes","276","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5910","Export Quantity","F0875","beef and veal preparations nes","2014","2014","tonnes","311","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5910","Export Quantity","F0875","beef and veal preparations nes","2015","2015","tonnes","356","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5910","Export Quantity","F0875","beef and veal preparations nes","2016","2016","tonnes","546","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5910","Export Quantity","F0875","beef and veal preparations nes","2017","2017","tonnes","512","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5910","Export Quantity","F0875","beef and veal preparations nes","2018","2018","tonnes","479","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5910","Export Quantity","F0875","beef and veal preparations nes","2019","2019","tonnes","676","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5910","Export Quantity","F0875","beef and veal preparations nes","2020","2020","tonnes","675","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5922","Export Value","F0875","beef and veal preparations nes","1991","1991","1000 US$","2125","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5922","Export Value","F0875","beef and veal preparations nes","1992","1992","1000 US$","251","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5922","Export Value","F0875","beef and veal preparations nes","1993","1993","1000 US$","981","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5922","Export Value","F0875","beef and veal preparations nes","1994","1994","1000 US$","2024","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5922","Export Value","F0875","beef and veal preparations nes","1995","1995","1000 US$","1105","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5922","Export Value","F0875","beef and veal preparations nes","1996","1996","1000 US$","861","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5922","Export Value","F0875","beef and veal preparations nes","1997","1997","1000 US$","927","A","Official figure"
"TM","Detailed trade matrix","250","France","276","Germany","5922","Export Value","F0875","beef and veal preparations nes","1998","1998","1000 US$","548","A","Official figure"
