Year,Week,Member State,Feed Price (€/Tonne),Category,Cattle Price
2021,1,France,196.0,Bulls,305.0
2021,1,Ireland,196.0,Young cattle,349.8
2021,1,France,196.0,Young bulls,315.0
2021,1,France,196.0,Young bulls,320.0
2021,1,Ireland,196.0,Young bulls,342.78
2021,1,Ireland,196.0,Young bulls,343.72
2021,1,Ireland,196.0,Young bulls,357.07
2021,1,Ireland,196.0,Young bulls,357.29
2021,1,France,196.0,Young bulls,365.0
2021,1,Ireland,196.0,Young bulls,367.48
2021,1,Ireland,196.0,Young bulls,368.58
2021,1,France,196.0,Young bulls,372.0
2021,1,Ireland,196.0,Young cattle,359.85
2021,1,France,196.0,Young bulls,381.0
2021,1,France,196.0,Heifers,303.0
2021,1,France,196.0,Heifers,316.0
2021,1,France,196.0,Heifers,319.0
2021,1,Ireland,196.0,Heifers,346.65
2021,1,Ireland,196.0,Heifers,368.82
2021,1,Ireland,196.0,Heifers,369.53
2021,1,Ireland,196.0,Heifers,375.14
2021,1,Ireland,196.0,Heifers,380.41
2021,1,France,196.0,Heifers,381.0
2021,1,Ireland,196.0,Heifers,381.36
2021,1,Ireland,196.0,Heifers,390.65
2021,1,France,196.0,Young bulls,400.0
2021,1,Ireland,196.0,Young cattle,369.22
2021,1,Ireland,196.0,Young cattle,396.2
2021,1,France,196.0,Calves slaughtered <8M,589.0
2021,1,France,196.0,Cows,252.0
2021,1,Ireland,196.0,Cows,268.49
2021,1,France,196.0,Cows,277.0
2021,1,Ireland,196.0,Cows,281.68
2021,1,France,196.0,Cows,288.0
2021,1,Ireland,196.0,Cows,290.69
2021,1,Ireland,196.0,Cows,293.73
2021,1,Ireland,196.0,Cows,294.15
2021,1,France,196.0,Cows,300.0
2021,1,Ireland,196.0,Cows,314.32
2021,1,Ireland,196.0,Cows,315.64
2021,1,France,196.0,Cows,317.0
2021,1,France,196.0,Cows,367.0
2021,1,France,196.0,Cows,395.0
2021,1,France,196.0,Steers,405.0
2021,1,Ireland,196.0,Steers,385.02
2021,1,Ireland,196.0,Steers,384.44
2021,1,Ireland,196.0,Steers,383.39
2021,1,Ireland,196.0,Steers,376.73
2021,1,Ireland,196.0,Steers,375.28
2021,1,France,196.0,Steers,367.0
2021,1,Ireland,196.0,Steers,362.95
2021,1,Ireland,196.0,Steers,360.7
2021,1,France,196.0,Steers,309.0
2021,1,France,196.0,Steers,308.0
2021,1,Ireland,196.0,Heifers,391.2
2021,1,France,196.0,Heifers,393.0
2021,1,Ireland,196.0,Bulls,282.74
2021,1,France,196.0,Heifers,410.0
2021,1,France,196.0,Heifers,456.0
2021,1,France,196.0,Heifers,459.0
2021,1,Ireland,196.0,Heifers,393.42
2021,2,France,204.08,Cows,300.0
2021,2,Ireland,197.0,Cows,318.91
2021,2,Ireland,197.0,Cows,320.28
2021,2,France,204.08,Cows,322.0
2021,2,France,204.08,Cows,363.0
2021,2,France,204.08,Cows,395.0
2021,2,France,204.08,Bulls,301.0
2021,2,Ireland,197.0,Steers,388.92
2021,2,Ireland,197.0,Cows,297.94
2021,2,Ireland,197.0,Steers,387.61
2021,2,Ireland,197.0,Steers,387.17
2021,2,Ireland,197.0,Steers,379.1
2021,2,Ireland,197.0,Steers,379.02
2021,2,Ireland,197.0,Steers,366.6
2021,2,France,204.08,Steers,363.0
2021,2,Ireland,197.0,Bulls,272.63
2021,2,Ireland,197.0,Cows,297.27
2021,2,Ireland,197.0,Cows,296.83
2021,2,France,204.08,Cows,290.0
2021,2,France,204.08,Young bulls,400.0
2021,2,France,204.08,Young bulls,382.0
2021,2,Ireland,197.0,Young bulls,372.73
2021,2,France,204.08,Young bulls,370.0
2021,2,Ireland,197.0,Young bulls,369.79
2021,2,France,204.08,Young bulls,364.0
2021,2,Ireland,197.0,Young bulls,360.85
2021,2,Ireland,197.0,Steers,362.45
2021,2,Ireland,197.0,Young bulls,359.92
2021,2,Ireland,197.0,Young bulls,345.32
2021,2,France,204.08,Young bulls,324.0
2021,2,France,204.08,Young bulls,318.0
2021,2,France,204.08,Cows,254.0
2021,2,Ireland,197.0,Cows,270.65
2021,2,France,204.08,Cows,279.0
2021,2,Ireland,197.0,Cows,285.87
2021,2,Ireland,197.0,Young bulls,346.14
2021,2,France,204.08,Steers,311.0
2021,2,France,204.08,Steers,410.0
2021,2,Ireland,197.0,Heifers,371.74
2021,2,Ireland,197.0,Heifers,384.02
2021,2,France,204.08,Heifers,381.0
2021,2,France,204.08,Heifers,378.0
2021,2,Ireland,197.0,Heifers,377.83
2021,2,Ireland,197.0,Heifers,372.05
2021,2,Ireland,197.0,Heifers,395.35
2021,2,Ireland,197.0,Heifers,354.49
2021,2,France,204.08,Heifers,324.0
2021,2,France,204.08,Heifers,312.0
2021,2,France,204.08,Heifers,300.0
2021,2,Ireland,197.0,Young cattle,331.44
2021,2,Ireland,197.0,Young cattle,362.69
2021,2,Ireland,197.0,Young cattle,370.18
2021,2,Ireland,197.0,Young cattle,371.33
2021,2,Ireland,197.0,Heifers,397.64
2021,2,France,204.08,Calves slaughtered <8M,585.0
2021,2,France,204.08,Heifers,408.0
2021,2,Ireland,197.0,Young cattle,321.97
2021,2,France,204.08,Heifers,457.0
2021,2,France,204.08,Heifers,453.0
2021,2,Ireland,197.0,Heifers,384.61
2021,2,Ireland,197.0,Heifers,394.61
2021,3,Ireland,197.0,Young cattle,403.41
2021,3,Ireland,197.0,Young cattle,393.36
2021,3,Ireland,197.0,Young cattle,380.92
2021,3,France,216.08,Young bulls,401.0
2021,3,Ireland,197.0,Young bulls,374.17
2021,3,Ireland,197.0,Steers,391.55
2021,3,France,216.08,Calves slaughtered <8M,590.0
