Year,Week,Member State,Feed Price (€/Tonne),Category,Cattle Price,Code
2021,1,France,196.0,Bulls,305.0,FRA
2021,1,Ireland,196.0,Young cattle,349.8,IRL
2021,1,France,196.0,Young bulls,315.0,FRA
2021,1,France,196.0,Young bulls,320.0,FRA
2021,1,Ireland,196.0,Young bulls,342.78,IRL
2021,1,Ireland,196.0,Young bulls,343.72,IRL
2021,1,Ireland,196.0,Young bulls,357.07,IRL
2021,1,Ireland,196.0,Young bulls,357.29,IRL
2021,1,France,196.0,Young bulls,365.0,FRA
2021,1,Ireland,196.0,Young bulls,367.48,IRL
2021,1,Ireland,196.0,Young bulls,368.58,IRL
2021,1,France,196.0,Young bulls,372.0,FRA
2021,1,Ireland,196.0,Young cattle,359.85,IRL
2021,1,France,196.0,Young bulls,381.0,FRA
2021,1,France,196.0,Heifers,303.0,FRA
2021,1,France,196.0,Heifers,316.0,FRA
2021,1,France,196.0,Heifers,319.0,FRA
2021,1,Ireland,196.0,Heifers,346.65,IRL
2021,1,Ireland,196.0,Heifers,368.82,IRL
2021,1,Ireland,196.0,Heifers,369.53,IRL
2021,1,Ireland,196.0,Heifers,375.14,IRL
2021,1,Ireland,196.0,Heifers,380.41,IRL
2021,1,France,196.0,Heifers,381.0,FRA
2021,1,Ireland,196.0,Heifers,381.36,IRL
2021,1,Ireland,196.0,Heifers,390.65,IRL
2021,1,France,196.0,Young bulls,400.0,FRA
2021,1,Ireland,196.0,Young cattle,369.22,IRL
2021,1,Ireland,196.0,Young cattle,396.2,IRL
2021,1,France,196.0,Calves slaughtered <8M,589.0,FRA
2021,1,France,196.0,Cows,252.0,FRA
2021,1,Ireland,196.0,Cows,268.49,IRL
2021,1,France,196.0,Cows,277.0,FRA
2021,1,Ireland,196.0,Cows,281.68,IRL
2021,1,France,196.0,Cows,288.0,FRA
2021,1,Ireland,196.0,Cows,290.69,IRL
2021,1,Ireland,196.0,Cows,293.73,IRL
2021,1,Ireland,196.0,Cows,294.15,IRL
2021,1,France,196.0,Cows,300.0,FRA
2021,1,Ireland,196.0,Cows,314.32,IRL
2021,1,Ireland,196.0,Cows,315.64,IRL
2021,1,France,196.0,Cows,317.0,FRA
2021,1,France,196.0,Cows,367.0,FRA
2021,1,France,196.0,Cows,395.0,FRA
2021,1,France,196.0,Steers,405.0,FRA
2021,1,Ireland,196.0,Steers,385.02,IRL
2021,1,Ireland,196.0,Steers,384.44,IRL
2021,1,Ireland,196.0,Steers,383.39,IRL
2021,1,Ireland,196.0,Steers,376.73,IRL
2021,1,Ireland,196.0,Steers,375.28,IRL
2021,1,France,196.0,Steers,367.0,FRA
2021,1,Ireland,196.0,Steers,362.95,IRL
2021,1,Ireland,196.0,Steers,360.7,IRL
2021,1,France,196.0,Steers,309.0,FRA
2021,1,France,196.0,Steers,308.0,FRA
2021,1,Ireland,196.0,Heifers,391.2,IRL
2021,1,France,196.0,Heifers,393.0,FRA
2021,1,Ireland,196.0,Bulls,282.74,IRL
2021,1,France,196.0,Heifers,410.0,FRA
2021,1,France,196.0,Heifers,456.0,FRA
2021,1,France,196.0,Heifers,459.0,FRA
2021,1,Ireland,196.0,Heifers,393.42,IRL
2021,2,France,204.08,Cows,300.0,FRA
2021,2,Ireland,197.0,Cows,318.91,IRL
2021,2,Ireland,197.0,Cows,320.28,IRL
2021,2,France,204.08,Cows,322.0,FRA
2021,2,France,204.08,Cows,363.0,FRA
2021,2,France,204.08,Cows,395.0,FRA
2021,2,France,204.08,Bulls,301.0,FRA
2021,2,Ireland,197.0,Steers,388.92,IRL
2021,2,Ireland,197.0,Cows,297.94,IRL
2021,2,Ireland,197.0,Steers,387.61,IRL
2021,2,Ireland,197.0,Steers,387.17,IRL
2021,2,Ireland,197.0,Steers,379.1,IRL
2021,2,Ireland,197.0,Steers,379.02,IRL
2021,2,Ireland,197.0,Steers,366.6,IRL
2021,2,France,204.08,Steers,363.0,FRA
2021,2,Ireland,197.0,Bulls,272.63,IRL
2021,2,Ireland,197.0,Cows,297.27,IRL
2021,2,Ireland,197.0,Cows,296.83,IRL
2021,2,France,204.08,Cows,290.0,FRA
2021,2,France,204.08,Young bulls,400.0,FRA
2021,2,France,204.08,Young bulls,382.0,FRA
2021,2,Ireland,197.0,Young bulls,372.73,IRL
2021,2,France,204.08,Young bulls,370.0,FRA
2021,2,Ireland,197.0,Young bulls,369.79,IRL
2021,2,France,204.08,Young bulls,364.0,FRA
2021,2,Ireland,197.0,Young bulls,360.85,IRL
2021,2,Ireland,197.0,Steers,362.45,IRL
2021,2,Ireland,197.0,Young bulls,359.92,IRL
2021,2,Ireland,197.0,Young bulls,345.32,IRL
2021,2,France,204.08,Young bulls,324.0,FRA
2021,2,France,204.08,Young bulls,318.0,FRA
2021,2,France,204.08,Cows,254.0,FRA
2021,2,Ireland,197.0,Cows,270.65,IRL
2021,2,France,204.08,Cows,279.0,FRA
2021,2,Ireland,197.0,Cows,285.87,IRL
2021,2,Ireland,197.0,Young bulls,346.14,IRL
2021,2,France,204.08,Steers,311.0,FRA
2021,2,France,204.08,Steers,410.0,FRA
2021,2,Ireland,197.0,Heifers,371.74,IRL
2021,2,Ireland,197.0,Heifers,384.02,IRL
2021,2,France,204.08,Heifers,381.0,FRA
2021,2,France,204.08,Heifers,378.0,FRA
2021,2,Ireland,197.0,Heifers,377.83,IRL
2021,2,Ireland,197.0,Heifers,372.05,IRL
2021,2,Ireland,197.0,Heifers,395.35,IRL
2021,2,Ireland,197.0,Heifers,354.49,IRL
2021,2,France,204.08,Heifers,324.0,FRA
2021,2,France,204.08,Heifers,312.0,FRA
2021,2,France,204.08,Heifers,300.0,FRA
2021,2,Ireland,197.0,Young cattle,331.44,IRL
2021,2,Ireland,197.0,Young cattle,362.69,IRL
